,tag_name
0,VERB
1,PROPN
2,PROPN
3,PUNCT
4,NOUN
5,ADJ
6,ADP
7,PROPN
8,ADP
9,NOUN
10,VERB
11,PRON
12,ADV
13,PROPN
14,PUNCT
15,PUNCT
16,ADP
17,NOUN
18,ADP
19,NOUN
20,NOUN
21,ADJ
22,PART
23,ADJ
24,ADP
25,PROPN
26,ADJ
27,PUNCT
28,PART
29,PART
30,NOUN
31,ADJ
32,ADP
33,NOUN
34,VERB
35,ADP
36,PRON
37,ADP
38,VERB
39,PUNCT
40,PUNCT
41,ADP
42,NOUN
43,ADP
44,PRON
45,PRON
46,VERB
47,NOUN
48,ADJ
49,ADP
50,NOUN
51,NOUN
52,ADJ
53,ADP
54,PROPN
55,PROPN
56,PUNCT
57,PART
58,AUX
59,NOUN
60,ADJ
61,DET
62,NOUN
63,PUNCT
64,ADP
65,ADJ
66,ADP
67,NOUN
68,PRON
69,ADJ
70,ADP
71,NOUN
72,NOUN
73,ADP
74,NOUN
75,PUNCT
76,VERB
77,NOUN
78,ADJ
79,SCONJ
80,PRON
81,ADP
82,NOUN
83,PART
84,VERB
85,PUNCT
86,ADP
87,NOUN
88,ADJ
89,PUNCT
90,ADP
91,NOUN
92,ADJ
93,ADP
94,NOUN
95,PUNCT
96,NOUN
97,NOUN
98,PUNCT
99,PUNCT
100,VERB
101,ADP
102,NOUN
103,PRON
104,VERB
105,ADP
106,DET
107,NOUN
108,ADJ
109,ADJ
110,ADP
111,PROPN
112,PROPN
113,ADJ
114,PUNCT
115,VERB
116,NOUN
117,ADJ
118,ADP
119,ADP
120,NOUN
121,PROPN
122,ADJ
123,ADJ
124,PUNCT
125,PART
126,PRON
127,VERB
128,PRON
129,CCONJ
130,PRON
131,VERB
132,PRON
133,PUNCT
134,ADP
135,NOUN
136,PUNCT
137,PART
138,PRON
139,NOUN
140,PART
141,VERB
142,PUNCT
143,NOUN
144,ADJ
145,ADJ
146,ADP
147,PRON
148,ADP
149,NOUN
150,ADJ
151,PRON
152,NUM
153,NOUN
154,PUNCT
155,ADP
156,ADJ
157,NOUN
158,PROPN
159,ADJ
160,PUNCT
161,VERB
162,NOUN
163,ADJ
164,NOUN
165,NOUN
166,ADP
167,NOUN
168,NOUN
169,NOUN
170,ADJ
171,PUNCT
172,ADP
173,NOUN
174,NOUN
175,ADP
176,NOUN
177,PUNCT
178,PROPN
179,PUNCT
180,CCONJ
181,PROPN
182,PROPN
183,ADJ
184,CCONJ
185,NOUN
186,NOUN
187,NOUN
188,CCONJ
189,PART
190,PRON
191,PUNCT
192,VERB
193,ADP
194,NOUN
195,ADP
196,NOUN
197,ADP
198,VERB
199,NOUN
200,ADP
201,PROPN
202,PROPN
203,ADP
204,PROPN
205,ADP
206,NOUN
207,PUNCT
208,PROPN
209,PUNCT
210,PRON
211,PART
212,VERB
213,ADV
214,PUNCT
215,PART
216,ADV
217,AUX
218,NOUN
219,ADJ
220,NOUN
221,PRON
222,ADJ
223,NOUN
224,ADP
225,NOUN
226,PUNCT
227,ADP
228,NOUN
229,NOUN
230,PUNCT
231,NOUN
232,ADP
233,NOUN
234,NOUN
235,ADJ
236,ADP
237,NOUN
238,ADJ
239,PUNCT
240,VERB
241,NOUN
242,NOUN
243,ADJ
244,ADP
245,ADP
246,NOUN
247,PUNCT
248,VERB
249,ADP
250,NOUN
251,ADJ
252,ADJ
253,ADP
254,NOUN
255,ADP
256,NOUN
257,ADJ
258,PUNCT
259,CCONJ
260,ADJ
261,ADP
262,NOUN
263,ADJ
264,ADJ
265,ADP
266,NOUN
267,ADP
268,NOUN
269,ADJ
270,PUNCT
271,ADP
272,NOUN
273,NOUN
274,PUNCT
275,VERB
276,NOUN
277,NUM
278,NUM
279,NOUN
280,ADJ
281,ADP
282,NOUN
283,NOUN
284,PROPN
285,PUNCT
286,PROPN
287,PUNCT
288,ADJ
289,PRON
290,VERB
291,ADV
292,NUM
293,PUNCT
294,VERB
295,PROPN
296,PROPN
297,PUNCT
298,NOUN
299,NOUN
300,PROPN
301,ADP
302,NOUN
303,NOUN
304,PUNCT
305,PUNCT
306,VERB
307,NOUN
308,ADP
309,NOUN
310,PUNCT
311,CCONJ
312,VERB
313,SCONJ
314,ADP
315,NOUN
316,NOUN
317,ADP
318,NOUN
319,ADP
320,VERB
