,w_name
0,كتبت
1,كوري
2,شولمان
3,","
4,المساعدة
5,الخاصة
6,ل
7,أوباما
8,في
9,تدوينة
10,نشرت
11,ها
12,يوم
13,الإثنين
14,:
15,""""
16,فيما
17,الكثير
18,من
19,عمليات
20,الانتقال
21,الرقمي
22,غير
23,مسبوقة
24,في
25,الولايات
26,المتحدة
27,","
28,ف
29,إن
30,الانتقال
31,السلمي
32,ل
33,لسلطة
34,سبق
35,ل
36,ه
37,أن
38,حدث
39,""""
40,.
41,ب
42,النسبة
43,إلى
44,أولئك
45,الذين
46,يتابعون
47,الانتقال
48,الخاص
49,ب
50,وسائل
51,التواصل
52,الاجتماعي
53,في
54,الكابيتول
55,هيل
56,","
57,س
58,يكون
59,الأمر
60,مختلفا
61,بعض
62,الشيء
63,.
64,لكن
65,بعيدا
66,عن
67,كلام
68,ه
69,السابق
70,ب
71,شأن
72,الحد
73,من
74,الهجرة
75,","
76,أعلن
77,المرشح
78,الجمهوري
79,أن
80,ه
81,ك
82,رئيس
83,س
84,يسمح
85,""""
86,ب
87,أعداد
88,هائلة
89,""""
90,من
91,المهاجرين
92,الشرعيين
93,على
94,أساس
95,""""
96,نظام
97,الجدارة
98,""""
99,.
100,قال
101,ل
102,لحشد
103,الذي
104,تجمع
105,في
106,أحد
107,الملاعب
108,الرياضية
109,الخاصة
110,ب
111,جامعة
112,كارولينا
113,الشمالية
114,.
115,تمول
116,النفقات
117,الجديدة
118,من
119,خلال
120,حساب
121,كلينتون
122,المصرفي
123,الكبير
124,.
125,إن
126,ما
127,تقول
128,ه
129,و
130,ما
131,تفعل
132,ه
133,...
134,في
135,الواقع
136,","
137,إن
138,ه
139,أمر
140,لا
141,يصدق
142,.
143,الحد
144,الأقصى
145,المسموح
146,ب
147,ه
148,ل
149,لشخص
150,الواحد
151,هو
152,5000
153,دولار
154,.
155,في
156,أوائل
157,شهر
158,تشرين
159,الأول
160,","
161,استخدم
162,الفريق
163,الانتقالي
164,ذات
165,المكان
166,ل
167,لقاء
168,جماعات
169,الضغط
170,التكنولوجية
171,","
172,ب
173,حضور
174,ممثلين
175,عن
176,شركة
177,""""
178,أوبر
179,""""
180,و
181,جمعية
182,الفيلم
183,الأمريكي
184,و
185,جمعية
186,مستهلكي
187,التكنولوجيا
188,و
189,غير
190,ها
191,.
192,كان
193,من
194,المقرر
195,في
196,الأصل
197,أن
198,يقام
199,التجمع
200,في
201,نادي
202,المتروبوليتان
203,في
204,واشنطن
205,في
206,شارع
207,""""
208,إتش
209,""""
210,الذي
211,لا
212,يبعد
213,كثيرا
214,.
215,ل
216,ربما
217,كان
218,الزي
219,الواجب
220,ارتداؤ
221,ه
222,خانقا
223,زيادة
224,عن
225,اللزوم
226,.
227,على
228,سبيل
229,المثال
230,","
231,بدلا
232,من
233,تدريس
234,المنهج
235,العلمي
236,ك
237,وحدة
238,منفصلة
239,","
240,يتعلم
241,الطلاب
242,المحتوى
243,العلمي
244,من
245,خلال
246,التطبيق
247,.
248,حصلوا
249,على
250,المعدل
251,الوطني
252,العام
253,ب
254,النسبة
255,إلى
256,الصف
257,الرابع
258,","
259,و
260,أفضل
261,من
262,المعدل
263,الوطني
264,العام
265,ب
266,النسبة
267,إلى
268,الصف
269,الثامن
270,.
271,على
272,سبيل
273,المقارنة
274,","
275,تكلف
276,الأمر
277,"103,7"
278,مليون
279,دولار
280,أمريكي
281,ل
282,بناء
283,محطة
284,مترو
285,""""
286,نوما
287,""""
288,البينية
289,التي
290,افتتحت
291,عام
292,2004
293,.
294,قال
295,جو
296,ستيرنليب
297,","
298,رئيس
299,منطقة
300,جورجتاون
301,ل
302,تطوير
303,الأعمال
304,:
305,""""
306,نواجه
307,الكثير
308,من
309,المنافسة
310,","
311,و
312,نرى
313,أن
314,ب
315,وسع
316,النقل
317,ب
318,المرور
319,أن
320,يساعد
321,""""
322,.
323,تقدر
324,دراسة
325,الجدوى
326,أن
327,المسافرين
328,س
329,يستغرقون
330,نحو
331,أربع
332,دقائق
333,ل
334,عبور
335,نهر
336,بوتوماك
337,على
338,متن
339,الجندول
340,.
341,أخبر
342,شاهد
343,عيان
344,الشرطة
345,أن
346,الضحية
347,هاجم
348,المشتبه
349,ب
350,ه
351,في
352,شهر
353,نيسان
354,الماضي
355,.
356,ثمة
357,أوجه
358,تشابه
359,هنا
360,بين
361,الألعاب
362,و
363,حيات
364,نا
365,اليومية
366,.
367,و
368,ارتفعت
369,تلك
370,النسبة
371,ب
372,اطراد
373,ب
374,مرور
375,السنين
376,
377,11
378,ب
379,المئة
380,فقط
381,من
382,إجمالي
383,الأصوات
384,طرحت
385,يوم
386,الانتخابات
387,عام
388,1996
389,وفق
390,مكتب
391,الإحصاء
392,
393,و
394,يبدو
395,أن
396,ها
397,من
398,المرجح
399,أن
400,ترتفع
401,مجددا
402,هذا
403,العام
404,.
405,قد
406,يكون
407,""""
408,خنزير
409,""""
410,خنزيرا
411,وحيدا
412,","
413,غير
414,أن
415,ه
416,لا
417,يترك
418,وحد
419,ه
420,أبدا
421,.
422,قال
423,ثاقب
424,:
425,""""
426,طلبنا
427,المساعدة
428,من
429,الدول
430,الأخرى
431,كي
432,نملأ
433,حديقة
434,الحيوان
435,ب
436,أنواع
437,مختلفة
438,من
439,الحيوانات
440,ب
441,ما
442,في
443,ها
444,الخنازير
445,""""
446,.
447,قال
448,السيد
449,بانفالكار
450,أن
451,ه
452,شعر
453,ذات
454,مرة
455,أن
456,علي
457,هم
458,ترك
459,المبنى
460,.
461,وجهت
462,إلي
463,ها
464,التهمة
465,أيضا
466,ب
467,محاولة
468,قتل
469,ابنت
470,ها
471,ذات
472,العامين
473,.
474,صرحت
475,الشرطة
476,أن
477,المرأة
478,قتلت
479,أندريه
480,برايس
481,الثالث
482,من
483,خلال
484,ضغط
485,وجه
486,ه
487,ب
488,فرشة
489,هوائية
490,في
491,غرفة
492,جلوس
493,ها
494,قبل
495,أن
496,تحاول
497,فعل
498,ذات
499,الشيء
500,مع
501,ابنت
502,ها
503,.
504,س
505,أدخل
506,السجن
507,في
508,كل
509,الأحوال
510,","
511,آمل
512,أن
513,الأمر
514,كان
515,يستحق
516,.
517,بدأت
518,أولى
519,اليزيديات
520,ب
521,البكاء
522,","
523,ثم
524,تبعت
525,ها
526,إحدى
527,صديقات
528,ها
529,.
530,وقع
531,السيد
532,أوزبورن
533,عقدا
534,مع
535,وكالة
536,استشارية
537,أمريكية
538,بعد
539,أن
540,صرف
541,من
542,عمل
543,ه
544,في
545,تموز
546,.
547,قال
548,مايكل
549,فالون
550,أن
551,تاريخ
552,البدء
553,ب
554,قطع
555,الفولاذ
556,س
557,يسهم
558,في
559,تأمين
560,استثمارات
561,جديدة
562,و
563,حفظ
564,مئات
565,الوظائف
566,المهارية
567,حتى
568,عام
569,2035
570,.
571,أطلق
572,وعد
573,البحرية
574,الملكية
575,ب
576,إجراء
577,ترتيبات
578,جديدة
579,ل
580,تأمين
581,صناعة
582,السفن
583,في
584,نهر
585,كلايد
586,قبل
587,استفتاء
588,استقلال
589,اسكتلندا
590,عام
591,2014
592,.
593,و
594,يتجلى
595,هذا
596,ب
597,أبهى
598,صور
599,ه
600,عندما
601,يكون
602,اسم
603,الشخص
604,الشهير
605,نادرا
606,جدا
607,في
608,البداية
609,.
610,ظنت
611,الشركة
612,الكورية
613,في
614,البداية
615,أن
616,اللوم
617,يقع
618,على
619,عاتق
620,خطأ
621,في
622,البطارية
623,","
624,و
625,استبدلت
626,بطاريات
627,ها
628,الخاصة
629,ل
630,تحل
631,محل
632,بطاريات
633,الشركات
634,الموردة
635,.
636,أشار
637,العديد
638,من
639,المحللين
640,أن
641,هواوي
642,في
643,موقع
644,مثالي
645,ل
646,لاستفادة
647,من
648,كبوة
649,سامسونغ
650,.
651,تفتقد
652,هواتف
653,""""
654,ميت
655,9
656,""""
657,واجهة
658,ذكاء
659,صناعي
660,تفاعلية
661,مثل
662,""""
663,غوغل
664,أسيستانت
665,""""
666,و
667,""""
668,سيري
669,""""
670,الخاصة
671,ب
672,آبل
673,.
674,لكن
675,أحد
676,خبراء
677,السفريات
678,نبه
679,إلى
680,أن
681,الإنترنت
682,خلال
683,رحلات
684,الطيران
685,كان
686,لا
687,يعول
688,علي
689,ه
690,و
691,كان
692,من
693,المستبعد
694,أن
695,يؤثر
696,على
697,اختيار
698,المسافرين
699,ل
700,شركات
701,الطيران
702,.
703,لكن
704,قد
705,يكون
706,الأمر
707,أن
708,الخطوط
709,الجوية
710,البريطانية
711,و
712,مجموعة
713,الخطوط
714,الجوية
715,الدولية
716,(
717,آي
718,إيه
719,جي
720,)
721,قررتا
722,الانطلاق
723,و
724,تقديم
725,شيء
726,يمكن
727,الاعتماد
728,علي
729,ه
730,بعض
731,الشيء
732,.
733,قالت
734,الشركة
735,ل
736,لبي
737,بي
738,سي
739,أن
740,أن
741,المسؤولية
742,تقع
743,على
744,عاتق
745,كل
746,شركة
747,طيران
748,ل
749,تحديد
750,ما
751,إذا
752,كانت
753,س
754,تتقاضى
755,رسوما
756,على
757,استخدام
758,الإنترنت
759,.
760,قد
761,يجد
762,أغلب
763,الناس
764,أن
765,""""
766,الواي-فاي
767,""""
768,في
769,المطارات
770,أكثر
771,فائدة
772,من
773,القدرة
774,على
775,إرسال
776,الرسائل
777,الإلكترونية
778,داخل
779,الطائرات
780,.
781,أحيانا
782,يكون
783,أشبه
784,ب
785,قوة
786,عظمى
787,.
788,يجني
789,المشروع
790,أموال
791,ه
792,من
793,خلال
794,عقود
795,الرعاية
796,و
797,الإعلانات
798,.
799,س
800,تكون
801,الدورة
802,التي
803,س
804,تستمر
805,مدة
806,10
807,أسابيع
808,مصرحة
809,من
810,قبل
811,الوكالة
812,الاستخبارية
813,البريطانية
814,(
815,مكاتب
816,الاتصالات
817,الحكومية
818,البريطانية
819,)
820,.
821,لكن
822,بعض
823,خبراء
824,الأمن
825,أثاروا
826,تساؤلات
827,ب
828,شأن
829,الحاجة
830,ل
831,هذه
832,الدورة
833,و
834,الغاية
835,من
836,ورائ
837,ها
838,.
839,لم
840,ير
841,الطائرات
842,من
843,قبل
844,سوى
845,بعض
846,المدونين
847,.
848,ب
849,طبيعة
850,الحال
851,","
852,س
853,تعرض
854,الصين
855,هذا
856,الأسبوع
857,العديد
858,من
859,القطع
860,العسكرية
861,الأخرى
862,","
863,من
864,مروحيات
865,هجومية
866,و
867,طائرات
868,مائية
869,.
870,و
871,مع
872,تأهب
873,الصين
874,ل
875,تكون
876,أكبر
877,سوق
878,في
879,مجال
880,الطيران
881,في
882,العالم
883,خلال
884,العقد
885,المقبل
886,","
887,يشكل
888,هذا
889,المعرض
890,فرصة
891,ل
892,بكين
893,ل
894,تظهر
895,طموحات
896,ها
897,في
898,مجال
899,الطيران
900,المدني
901,إلى
902,جانب
903,العكسري
904,.
905,كتب
906,جيسي
907,لابروكا
908,","
909,مؤسس
910,موقع
911,""""
912,هاك
913,فوروم
914,""""
915,في
916,رسالة
917,يشرح
918,في
919,ها
920,سبب
921,إقفال
922,القسم
923,:
924,مجددا
925,ل
926,لأسف
927,","
928,تفسد
929,القلة
930,الأمر
931,على
932,الكثرة
933,.
934,من
935,المرجح
936,أن
937,""""
938,الأحداث
939,الأخيرة
940,""""
941,هي
942,هجمات
943,21
944,تشرين
945,الأول
946,و
947,التي
948,أوقفت
949,عمل
950,مواقع
951,رائجة
952,مؤقتا
953,مثل
954,"""ريديت"
955,""""
956,و
957,""""
958,تويتر
959,""""
960,و
961,""""
962,سبوتيفاي
963,""""
964,و
965,غير
966,ها
967,.
968,تكشف
969,التحليلات
970,أن
971,كميات
972,تاريخية
973,من
974,البيانات
975,كانت
976,تستخدم
977,ل
978,إحداث
979,الاضطراب
980,.
981,يقول
982,تقرير
983,الأمم
984,المتحدة
985,عن
986,الخطط
987,الوطنية
988,ل
989,لحد
990,من
991,انبعاثات
992,الكربون
993,أن
994,ها
995,أقل
996,من
997,المستوى
998,المطلوب
999,ل
1000,لحفاظ
1001,على
1002,ارتفاع
1003,حرارة
1004,الأرض
1005,ب
1006,مقدار
1007,أقل
1008,من
1009,درجتين
1010,مئويتين
1011,.
1012,يقول
1013,العديد
1014,من
1015,العلماء
1016,أن
1017,ه
1018,لا
1019,ضرورة
1020,إلى
1021,تقنيات
1022,تزيل
1023,الكربون
1024,من
1025,الجو
1026,من
1027,أجل
1028,تحقيق
1029,أهداف
1030,قمة
1031,باريس
1032,ل
1033,لمناخ
1034,.
1035,قال
1036,إيريك
1037,سولهايم
1038,","
1039,رئيس
1040,برنامج
1041,الأمم
1042,المتحدة
1043,ل
1044,لبيئة
1045,:
1046,""""
1047,نحن
1048,نسير
1049,على
1050,الدرب
1051,الصحيح
1052,.
1053,اتفاق
1054,باريس
1055,س
1056,يبطئ
1057,من
1058,التغير
1059,المناخي
1060,","
1061,كما
1062,أن
1063,تعديل
1064,كيغالي
1065,س
1066,يخفض
1067,من
1068,انبعاثات
1069,مركبات
1070,الكربون
1071,الهيدروكلورية
1072,فلورية
1073,""""
1074,.
1075,ارتفعت
1076,الاستثمارات
1077,في
1078,هذا
1079,المجال
1080,ارتفعت
1081,ب
1082,نسبة
1083,6
1084,%
1085,عام
1086,2015
1087,ل
1088,تصبح
1089,221
1090,مليار
1091,دولار
1092,أمريكي
1093,.
1094,من
1095,الرائع
1096,أن
1097,هم
1098,توصلوا
1099,إلى
1100,اتفاق
1101,باريس
1102,","
1103,لكن
1104,إسهامات
1105,هم
1106,في
1107,الوقت
1108,الحالي
1109,بعيدة
1110,كل
1111,البعد
1112,عن
1113,هدف
1114,الوصول
1115,إلى
1116,ارتفاع
1117,ب
1118,مقدار
1119,درجة
1120,و
1121,نصف
1122,مئوية
1123,.
1124,أجريت
1125,قبالة
1126,السواحل
1127,المكسيكية
1128,ما
1129,بين
1130,شهري
1131,نيسان
1132,و
1133,حزيران
1134,.
1135,س
1136,يضع
1137,هذا
1138,قيودا
1139,جديدة
1140,على
1141,طبيعة
1142,التغيرات
1143,المناخية
1144,التي
1145,ضربت
1146,كوكب
1147,الأرض
1148,و
1149,جلعت
1150,الكثير
1151,من
1152,الكائنات
1153,الحية
1154,
1155,لا
1156,الدينصورات
1157,فقط
1158,
1159,تنقرض
1160,.
1161,من
1162,المرجح
1163,أن
1164,هذه
1165,المادة
1166,النيزكية
1167,غنية
1168,ب
1169,عنصر
1170,الإيريديوم
1171,.
1172,فقط
1173,70
1174,%
1175,من
1176,النباتات
1177,التي
1178,زرعت
1179,من
1180,البذور
1181,الأرضية
1182,كانت
1183,حية
1184,بعد
1185,17
1186,يوما
1187,","
1188,و
1189,هذه
1190,نسبة
1191,أكبر
1192,قليلا
1193,من
1194,النباتات
1195,التي
1196,زرعت
1197,من
1198,البذور
1199,الفضائية
1200,و
1201,التي
1202,بلغت
1203,66
1204,%
1205,.
1206,تقدم
1207,النتائج
1208,المستخلصة
1209,من
1210,هذه
1211,التجربة
1212,تأكيدا
1213,إضافيا
1214,على
1215,أن
1216,ه
1217,يمكن
1218,نقل
1219,البذور
1220,الصاروخية
1221,و
1222,تخزين
1223,ها
1224,في
1225,المحطة
1226,الفضائية
1227,الدولية
1228,ل
1229,مدة
1230,ستة
1231,أشهر
1232,من
1233,دون
1234,أن
1235,يكون
1236,ل
1237,ذلك
1238,أي
1239,تأثيرات
1240,كبيرة
1241,على
1242,قدرت
1243,ها
1244,على
1245,الإنبات
1246,و
1247,النمو
1248,على
1249,الأرض
1250,.
1251,جمعت
1252,الجمعية
1253,الملكية
1254,ل
1255,لبستنة
1256,تعليقات
1257,أرسلت
1258,من
1259,قبل
1260,تلاميذ
1261,و
1262,مدرسين
1263,شاركوا
1264,في
1265,التجربة
1266,.
1267,و
1268,تقول
1269,:
1270,""""
1271,لا
1272,يزال
1273,عامل
1274,القرف
1275,مخيما
1276,على
1277,فكرة
1278,شراء
1279,و
1280,ارتداء
1281,أجزاء
1282,من
1283,جسد
1284,شخص
1285,آخر
1286,""""
1287,.
1288,و
1289,تشرح
1290,تارلو
1291,:
1292,""""
1293,عادة
1294,ما
1295,يتم
1296,في
1297,الصين
1298,وضع
1299,الشعر
1300,في
1301,أحواض
1302,كيميائية
1303,ل
1304,إزالة
1305,أي
1306,أثر
1307,ل
1308,لقشور
1309,الجلدية
1310,""""
1311,.
1312,تقول
1313,تارلو
1314,:
1315,""""
1316,على
1317,مر
1318,التاريخ
1319,","
1320,كان
1321,ل
1322,سوق
1323,الشعر
1324,دوما
1325,بعدا
1326,سياسيا
1327,""""
1328,.
1329,و
1330,يقول
1331,التقرير
1332,:
1333,""""
1334,نطبق
1335,اليوم
1336,عقوبات
1337,ب
1338,استخدام
1339,ضوء
1340,قوي
1341,""""
1342,.
1343,و
1344,قد
1345,طبقت
1346,شرطة
1347,مرور
1348,شينجن
1349,عقوبات
1350,غير
1351,تقليدية
1352,قبل
1353,ذلك
1354,.
1355,من
1356,يكونون
1357,؟
1358,الكثير
1359,من
1360,النقاش
1361,عند
1362,الجانب
1363,الديمقراطي
1364,يدور
1365,حول
1366,هوية
1367,الذكر
1368,الأبيض
1369,.
1370,سألت
1371,ها
1372,بعد
1373,ذلك
1374,إن
1375,كانت
1376,تفهم
1377,السبب
1378,الذي
1379,قد
1380,يدعو
1381,الناس
1382,ل
1383,لتصويت
1384,ل
1385,صالح
1386,ترامب
1387,.
1388,لا
1389,يمكن
1390,ل
1391,لجميع
1392,أن
1393,يترفعوا
1394,عن
1395,الأمر
1396,.
1397,يقول
1398,بال
1399,:
1400,""""
1401,ل
1402,حسن
1403,الحظ
1404,","
1405,قال
1406,أحد
1407,هم
1408,في
1409,سوني
1410,أستراليا
1411,:
1412,'
1413,ب
